PALAVRA,Transc.Fon,VOGAL,F1,F2,F1.NORM,F2.NORM,CONT.PREC,CONT.SEG,VOGAL.SIL.SEG,F1.SIL.SEG,F2.SIL.SEG,F1.SEG.NORM,F2.SEG.NORM,VOGAL.TONICA,DIST.TONICA,ESTR.SIL.PRET,Begin.Time.s,End.Time.s,Duration.ms,AMOSTRA,PARTICIPANTE,SEXO,IDADE,IDADE.CHEGADA,ANOS.SP,CONTEXTO
chegar,S<e>-'gar,e,575.8237970029,1762.8991077517,441.654,1713.587,S,g,a,652.4870678199,1457.2350219417,393.139,1326.298,a,1,CV,1905.7268572905,1905.7558382793,28.9809887927,PBSP,JoaoS,masculino,31,14,17,então era muito aí começou a chegar
chegar,S<e>-'gar,e,537.6920371599,1785.3104064414,424.477,1731.042,S,g,a,679.8920286493,1168.959000952,402.53,1125.462,a,1,CV,1932.3244476458,1932.3436124933,19.1648474274,PBSP,JoaoS,masculino,31,14,17,aí falei quando chegar luz eh chegar no bairro aí mais gente
negócio,n<e>-'go-sio,e,496.4690096167,1558.3752135281,405.947,1554.476,n,g,ó,519.6661068318,1213.965506792,347.513,1156.837,o,1,CV,1964.8556735748,1964.872968681,17.295106215,PBSP,JoaoS,masculino,31,14,17,um negócio que chama rede é pra instalar
diferente,d<i>-f<e>-'RE-te,e,440.0310163261,1867.1611945953,380.555,1794.821,f,R,E,462.8415591082,1850.7623947829,328.002,1600.696,E,1,CV,1996.0674432017,1996.0856212412,18.1780395651,PBSP,JoaoS,masculino,31,14,17,então lá também é diferente então tinha que pagar o poste tinha que pagar os fio aí vai a mão de obra
geladeira,Z<e>-l<a>-'dej-Ra,e,665.6499048898,1398.5405637668,482.076,1429.827,Z,l,a,492.7986370184,1338.1286330798,338.293,1243.34,ej,2,CV,2060.3813047336,2060.4009414184,19.636684744,PBSP,JoaoS,masculino,31,14,17,depois comprei mandei comprar geladeira fogão a minha casa da minha mãe a no sítio parecia
pegava,p<e>-'ga-va,e,588.3318639218,1595.9970752299,447.302,1583.568,p,g,a,610.8054664894,1706.389993906,378.816,1500.013,a,1,CV,2068.9227961018,2068.9451412948,22.3451929846,PBSP,JoaoS,masculino,31,14,17,eu mandava tudo que eu pegava era pra lá tudo que eu pegava vou mandar pra lá
lugar,l<u>-'gar,u,417.76421581,1069.9754561958,370.519,1174.041,l,g,a,407.0005808242,1421.6742311846,308.834,1301.481,a,1,CV,2128.7729066965,2128.7876672991,14.7606026285,PBSP,JoaoS,masculino,31,14,17,tipo eh presidente dutra santos dumont tem um lugar chamado fortaleza
gerente,Z<e>-'RE-te,e,415.6527246508,1874.3828900415,369.586,1800.416,Z,R,E,416.8967322556,1803.1308183202,312.221,1567.371,E,1,CV,2157.0757149686,2157.092438765,16.7237963997,PBSP,JoaoS,masculino,31,14,17,já a o gerente já me conhecia
mudou,m<u>-'dow,u,455.5633512177,962.8835256062,387.509,1090.793,m,d,ow,426.7469411882,1002.8989614535,315.609,1009.711,ow,1,CV,2233.4245521965,2233.4434129665,18.8607700247,PBSP,JoaoS,masculino,31,14,17,mudou ela volto que a sede dela é lá em sergipe
mudou,m<u>-'dow,u,432.5357189669,1023.043269893,377.147,1137.564,m,d,ow,404.2724585338,1166.2035674488,307.89,1123.512,ow,1,CV,2240.9369528661,2240.9566336696,19.6808035043,PBSP,JoaoS,masculino,31,14,17,aí a sede dela mudou
ocupado,<o>-k<u>-'pa-do,u,466.7317637586,1065.4091009077,392.55,1170.46,k,p,a,604.4592813493,1102.2050943179,376.63,1078.843,a,1,CV,2296.0157949418,2296.0371158122,21.3208704631,PBSP,JoaoS,masculino,31,14,17,é que eu estou ocupado agora
mudaram,m<u>-'da-RA,u,421.0491399477,1225.5549858421,372.013,1295.332,m,d,a,735.0461387674,1421.5012273346,421.484,1301.481,a,1,CV,2321.5032109577,2321.5253518617,22.1409039423,PBSP,JoaoS,masculino,31,14,17,eles mudaram eu fiquei desempregado
mulher,m<u>-'Ler,u,446.3422205695,1204.0961123796,383.402,1278.549,m,L,é,459.4219937898,1591.6865142146,326.844,1420.068,e,1,CV,2324.0019765823,2324.0208373523,18.8607700252,PBSP,JoaoS,masculino,31,14,17,aí essa mulher que escrevia carta pra mim
noventa,n<o>-'vE-ta,o,605.3998287175,1217.6147974795,454.957,1289.066,n,v,E,604.8763921108,1860.5312976695,376.758,1607.432,E,1,CV,2335.7246365337,2335.7434779313,18.8413975766,PBSP,JoaoS,masculino,31,14,17,eu não sei se você lembra mas essa época em noventa e cinco
colégio,k<o>-'le-Zio,o,551.7521515755,1123.2231478111,430.825,1215.665,k,l,é,514.967648926,1721.0296348906,345.926,1510.116,e,1,CV,2400.9708157713,2400.9853322343,14.5164630244,PBSP,JoaoS,masculino,31,14,17,nesse colégio moacir que ali é muito bom aquele colégio
colégio,k<o>-'le-Zio,o,616.283688498,1220.2057259768,459.858,1291.081,k,l,é,527.3895430961,1635.7226957665,350.172,1450.734,e,1,CV,2402.9410258265,2402.9641032806,23.0774540387,PBSP,JoaoS,masculino,31,14,17,nesse colégio moacir que ali é muito bom aquele colégio
noventa,n<o>-'vE-ta,o,522.626559088,1080.2004435988,417.709,1182.097,n,v,E,460.4859731512,1353.3880125502,327.187,1253.976,E,1,CV,2499.0214947985,2499.0445655233,23.0707247983,PBSP,JoaoS,masculino,31,14,17,aí isso foi em noventa e sete
noventa,n<o>-'vE-ta,o,487.6756260912,1196.5659869037,401.979,1272.73,n,v,E,453.4182520148,1917.4192119561,324.786,1647.139,E,1,CV,2505.0672720724,2505.0995506694,32.2785969638,PBSP,JoaoS,masculino,31,14,17,eu comecei lá em noventa e cinco
noventa,n<o>-'vE-ta,o,507.4019173187,1244.0227589785,410.848,1309.655,n,v,E,451.8007435811,1233.4776114234,324.228,1170.309,E,1,CV,2508.7205356366,2508.7384041457,17.8685090336,PBSP,JoaoS,masculino,31,14,17,e saí de lá no começo de noventa e sete
morar,m<o>-'Rar,o,668.060767897,1229.0380291074,483.196,1298.018,m,R,a,640.9101255589,1429.8598445482,389.151,1307.331,a,1,CV,2516.5785995848,2516.6005029185,21.9033336539,PBSP,JoaoS,masculino,31,14,17,saí de vou sair daqui aí vim morar aqui no centro
noventa,n<o>-'vE-ta,o,697.070589062,1208.7389311268,496.219,1282.129,n,v,E,537.980468443,1823.5546750623,353.816,1581.73,E,1,CV,2565.1031405141,2565.1234601286,20.3196145221,PBSP,JoaoS,masculino,31,14,17,quer dizer foi em noventa e sete isso
advogado,<a>-d<i>-v<o>-'ga-do,o,389.0841041032,947.2819292136,357.59,1078.485,v,g,a,676.3949652834,1512.093485036,401.329,1364.586,a,1,CV,2626.0019264735,2626.0175126844,15.5862108963,PBSP,JoaoS,masculino,31,14,17,e lá tinha um advogado que ele morava num prédio aqui na
morava,m<o>-'Ra-va,o,481.1620928912,909.1003699407,399.038,1048.945,m,R,a,448.882704763,1227.0403588446,323.199,1165.877,a,1,CV,2627.0717513387,2627.092885184,21.1338452837,PBSP,JoaoS,masculino,31,14,17,e lá tinha um advogado que ele morava num prédio aqui na
advogado,<a>-d<i>-v<o>-'ga-do,o,414.3122882316,1180.6805784153,368.979,1260.422,v,g,a,739.8890273227,1484.4574949187,423.113,1345.265,a,1,CV,2637.7275007074,2637.7655416289,38.0409215104,PBSP,JoaoS,masculino,31,14,17,tem um advogado aí que
colégio,k<o>-'le-Zio,o,625.1182021086,1126.2462310532,463.872,1217.903,k,l,é,517.5865454775,1930.6382201647,346.784,1656.356,e,1,CV,2719.8389465662,2719.8632504883,24.3039220759,PBSP,JoaoS,masculino,31,14,17,é até perto de um colégio ali na rua a francisco
alojamento,<a>-l<o>-Z<a>-'mE-to,o,549.4205478738,1204.356908373,429.798,1278.772,l,Z,a,676.0304768931,1446.3846590283,401.201,1318.853,E,2,CV,2818.0699852636,2818.0846167239,14.6314602957,PBSP,JoaoS,masculino,31,14,17,que eles ficava meses e meses em alojamento
colocar,k<o>-l<o>-'kar,o,554.871245698,993.6145108541,432.226,1114.738,l,k,a,594.2269808789,1589.7822980997,373.113,1418.65,a,1,CV,2849.5477719527,2849.5675952215,19.8232687871,PBSP,JoaoS,masculino,31,14,17,então vai trazer pra colocar ele aonde
morava,m<o>-'Ra-va,o,543.5822173806,1010.2836875773,427.138,1127.717,m,R,a,575.0160161411,1362.2429238731,366.509,1260.18,a,1,CV,2856.1427353701,2856.1627604323,20.0250622747,PBSP,JoaoS,masculino,31,14,17,você acredita que a gente morava numa quitinete morava em oito
morava,m<o>-'Ra-va,o,539.866985415,1137.215456299,425.457,1226.407,m,R,a,597.226066685,1306.7954912296,374.142,1221.537,a,1,CV,2857.3742989179,2857.3946418383,20.3429204062,PBSP,JoaoS,masculino,31,14,17,você acredita que a gente morava numa quitinete morava em oito
controlado,kO-tR<o>-'la-do,o,701.0122969123,957.616706946,497.993,1086.541,R,l,a,782.5166261329,1363.0761510173,437.779,1260.712,a,1,CCV,2912.9995059661,2913.0167881717,17.2822055774,PBSP,JoaoS,masculino,31,14,17,é controlado
noventa,n<o>-'vE-ta,o,655.0203369943,1173.666719484,477.315,1254.827,n,v,E,418.8155669345,1469.4737561637,312.907,1334.806,E,1,CV,2926.5042081181,2926.5231572474,18.9491292649,PBSP,JoaoS,masculino,31,14,17,isso já foi em nove em nove noventa e oito já isso daí
colocava,k<o>-l<o>-'ka-va,o,585.8961926777,1110.945856521,446.182,1206.042,l,k,a,684.3599073851,1501.4540377952,404.074,1357.141,a,1,CV,2961.4943499351,2961.5178386916,23.4887565134,PBSP,JoaoS,masculino,31,14,17,estudar trabalhar fazer que nem seu irmão tudo que ele falava ele colocava eu no meio
noventa,n<o>-'vE-ta,o,588.2312623663,1292.2469353165,447.255,1347.251,n,v,E,501.2440792126,1953.3496557351,341.209,1672.132,E,1,CV,3083.286443492,3083.3100403186,23.5968265974,PBSP,JoaoS,masculino,31,14,17,isso em noventa e oito era um salário bom
morar,m<o>-'Rar,o,575.997706972,1022.2541815718,441.748,1136.893,m,R,a,632.0836951656,1248.6646224627,386.106,1180.945,a,1,CV,3099.1961423496,3099.2168912833,20.7489337322,PBSP,JoaoS,masculino,31,14,17,pra trabalhar e morar na firma tomar de conta porque lá é uma firma é um galpão
morava,m<o>-'Ra-va,o,661.9365658458,1210.4785694331,480.442,1283.472,m,R,a,725.7930741006,1394.324706483,418.31,1282.515,a,1,CV,3298.0366194432,3298.0560093521,19.3899088695,PBSP,JoaoS,masculino,31,14,17,ele morava em marília
morava,m<o>-'Ra-va,o,573.030187491,1267.3383296294,440.394,1327.781,m,R,a,617.6859068238,1369.505854639,381.175,1265.143,a,1,CV,3431.6732253779,3431.6871618749,13.936497,PBSP,JoaoS,masculino,31,14,17,e a gente mo e a gente morava também na firma tudo junto aí
reformar,he-f<o>r-'mar,o,589.1096534418,1040.6508754712,447.629,1151.215,f,r,a,671.2870919967,1240.4336094195,399.571,1175.272,a,1,CVr,3534.5716955779,3534.6000533196,28.3577417217,PBSP,JoaoS,masculino,31,14,17,lá aí eu digo dá pra comprar uma ca dá pra reformar aí fui comprei a
morar,m<o>-'Rar,o,572.8647670243,1082.827197955,440.347,1184.111,m,R,a,677.647988623,1321.0799613438,401.758,1231.464,a,1,CV,3545.0073772983,3545.0443999055,37.0226072478,PBSP,JoaoS,masculino,31,14,17,aí pronto aí viemos tudo morar lá menino saiu da firma
morava,m<o>-'Ra-va,o,677.1595450419,1200.1145386422,487.257,1275.416,m,R,a,726.6466598583,1288.9409931482,418.568,1209.129,a,1,CV,3556.0384947444,3556.0605507657,22.0560213393,PBSP,JoaoS,masculino,31,14,17,eu conheci conheci um cara tralhando no prédio lá que ele morava no prédio que ele trabalha ele era
morando,m<o>-'RA-do,o,687.9418935789,1172.5944567194,492.112,1253.932,m,R,A,654.1661007296,1404.1777171373,393.696,1289.428,A,1,CV,3598.7487124328,3598.7731315993,24.4191664829,PBSP,JoaoS,masculino,31,14,17,os três trabalhando de novo e morando lá
problemas,pR<o>-'ble-mas,o,550.5491143424,1194.1097498921,430.265,1270.716,R,b,e,421.2446459116,1787.3381098146,313.722,1556.381,e,1,CCV,3690.6964613303,3690.7271822172,30.7208868649,PBSP,JoaoS,masculino,31,14,17,problemas porque
colega,k<o>-'le-ga,o,529.6000673855,1196.5825679173,420.836,1272.73,k,l,é,524.448736789,1456.4865376706,349.142,1325.766,e,1,CV,3870.1373306276,3870.1570337303,19.7031026605,PBSP,JoaoS,masculino,31,14,17,é eu fui visitar um colega meu aqui perto
morava,m<o>-'Ra-va,o,657.7642870946,1275.3308756153,478.529,1334.047,m,R,a,635.5255890175,1382.6651532771,387.307,1274.361,a,1,CV,3897.7198506968,3897.7354298943,15.5791974526,PBSP,JoaoS,masculino,31,14,17,nessa casa que a gente morava era grande tinha três cômodo
problema,pR<o>-'ble-ma,o,432.5638523947,1075.1964682433,377.194,1178.293,R,b,e,402.629087516,1493.6074537765,307.333,1351.646,e,1,CCV,3946.4694516594,3946.493585171,24.1335115752,PBSP,JoaoS,masculino,31,14,17,ela tinha esse problema no no seio e precisava de operar se cuidar né falei então vem né
problema,pR<o>-'ble-ma,o,451.9997748405,1198.3302794384,385.922,1274.073,R,b,e,390.1221278081,1447.1138754091,303.045,1319.207,e,1,CCV,3979.9829255527,3980.0070590642,24.1335115752,PBSP,JoaoS,masculino,31,14,17,aí tinha problema de infiltração porque
morava,m<o>-'Ra-va,o,847.0863023376,1029.0938149073,563.76,1142.263,m,R,a,605.717650567,1414.3035719584,377.058,1296.341,a,1,CV,4047.7770127289,4047.7975971946,20.5844657553,PBSP,JoaoS,masculino,31,14,17,era bem mais simples do que a gente morava
reformar,he-f<o>r-'mar,o,424.768819138,1123.6041986547,373.646,1215.889,f,r,a,770.1410682634,1291.267414141,433.533,1210.724,a,1,CVr,4050.7234490569,4050.7560137164,32.5646594497,PBSP,JoaoS,masculino,31,14,17,que meu a tinha que reformar
morando,m<o>-'RA-do,o,526.2282318105,1101.4870568249,419.343,1198.657,m,R,A,545.2120248851,1271.2740026022,356.304,1196.721,A,1,CV,4213.3414517255,4213.3654467377,23.9950122268,PBSP,JoaoS,masculino,31,14,17,é minha mãe tu tudo isso a minha mãe morando com a gente depois que ela veio do norte pra
morava,m<o>-'Ra-va,o,713.829934613,1211.8164409077,503.781,1284.591,m,R,a,728.3306716862,1286.2162583987,419.168,1207.179,a,1,CV,4448.7716217779,4448.792760241,21.1384631521,PBSP,JoaoS,masculino,31,14,17,onde eu morava agora mora minha mãe e minha irmã
namorando,na-m<o>-'RA-do,o,450.6690311673,983.4729151668,385.316,1106.682,m,R,A,598.6685891224,1686.5698839871,374.657,1486.186,A,1,CV,4452.9224542194,4452.9464492316,23.9950122259,PBSP,JoaoS,masculino,31,14,17,porque eu estou namorando também
namorada,n<a>-m<o>-'Ra-da,o,714.2089456635,1229.9849624531,503.968,1298.689,m,R,a,647.9622649828,1407.5364617716,391.552,1291.732,a,1,CV,4464.9351465351,4464.9494292805,14.2827453719,PBSP,JoaoS,masculino,31,14,17,a minha namorada ela mora aqui na vila mariana
correndo,k<o>-'hE-do,o,594.8728515682,1036.4926206075,450.243,1148.082,k,h,E,817.8715013901,1446.8198118504,449.914,1319.03,E,1,CV,4654.8237239756,4654.8372272983,13.503322627,PBSP,JoaoS,masculino,31,14,17,eu saí correndo
morando,m<o>-'RA-do,o,480.1405685112,1061.1584329598,398.572,1167.327,m,R,A,521.8297640487,1017.5313547773,348.242,1019.815,A,1,CV,4704.0900196726,4704.1055828241,15.5631515026,PBSP,JoaoS,masculino,31,14,17,então eu morando daqui saía daqui pra balada lá
forró,f<o>-'ho,o,664.546162546,979.2932002363,481.609,1103.549,f,h,ó,669.576469225,937.9616232188,398.971,964.51,o,1,CV,4734.2881058193,4734.3059576695,17.8518502526,PBSP,JoaoS,masculino,31,14,17,e a balada mais go que que eu gosto de curtir é forró
forrozinho,f<o>-h<o>-'zi-No,o,585.9585119938,1006.1913312981,446.229,1124.361,f,h,ó,612.5317621178,1246.1038170552,379.417,1179.172,i,2,CV,4735.6949707436,4735.7176673245,22.6965808288,PBSP,JoaoS,masculino,31,14,17,sabe forrozinho pé de serra a
trabalha,tR<a>-'ba-La,a,517.5562693618,1147.3483842124,441.234,1313.012,R,b,a,592.6230114201,1693.8131519641,379.503,1461.37,a,1,CCV,16.4428203035,16.462621954,19.8016505433,PBSP,JosueO,masculino,30,15,15,não estou nem vendo a gente trabalha com isso todos os dias
trabalha,tR<a>-'ba-La,a,563.5445952478,1140.7328683233,463.265,1308.983,R,b,a,542.7375532852,1339.4017874845,360.72,1277.374,a,1,CCV,20.0164781875,20.0388348897,22.3567022263,PBSP,JosueO,masculino,30,15,15,não a gente a gente não trabalha com isso mas eu utilizo datashow todos os dias
utilizo,<u>-t<i>-'li-zo,i,379.5051844833,1854.603330143,374.953,1733.728,t,l,i,321.3912407541,1963.5142104773,277.316,1601.405,i,1,CV,21.1732058975,21.1932709907,20.0650931962,PBSP,JosueO,masculino,30,15,15,não a gente a gente não trabalha com isso mas eu utilizo datashow todos os dias
trabalho,tR<a>-'ba-Lo,a,586.6766542401,1163.6873661458,474.375,1322.634,R,b,a,715.1589249897,1247.2985833455,425.643,1229.514,a,1,CCV,27.5848439594,27.6161433425,31.2993831169,PBSP,JosueO,masculino,30,15,15,não eu trabalho numa empresa mas eu sou estou sempre prestando serviço
prestando,pR<e>s-'tA-do,e,482.3404948042,1616.0114764096,424.291,1591.848,R,s,A,329.3977785005,1451.4613377066,280.36,1335.515,A,1,CCVs,29.7480314814,29.7816175736,33.586092149,PBSP,JosueO,masculino,30,15,15,não eu trabalho numa empresa mas eu sou estou sempre prestando serviço
esclarecendo,<e>s-kl<a>-R<e>-'sE-do,e,418.3703181771,1576.2093195103,393.624,1568.127,R,s,E,481.6463112934,1548.5995503862,337.693,1386.034,E,1,CV,32.0622777214,32.0822216277,19.9439062658,PBSP,JosueO,masculino,30,15,15,e esclarecendo algumas dúvidas pros menino e uso datashow
importância,I-p<o>r-'tA-sia,o,462.1403845496,1054.4352511037,414.628,1257.737,p,r,A,703.4328502396,1731.859159343,421.226,1481.223,A,1,CVr,48.7509524632,48.769511376,18.5589127751,PBSP,JosueO,masculino,30,15,15,não tranquilo não tem importância
casamento,k<a>-z<a>-'mE-to,a,642.593869337,1389.5707840093,501.214,1457.129,k,z,a,612.1124257273,1375.9655837217,386.835,1296.341,E,2,CV,83.1771124155,83.2007466436,23.6342280678,PBSP,JosueO,masculino,30,15,15,eu fora do casamento dela
casamento,k<a>-z<a>-'mE-to,a,612.1124257273,1375.9655837217,486.604,1449.073,z,m,E,528.0320465099,1921.858772679,355.189,1579.78,E,1,CV,83.3201953098,83.3591598479,38.9645381659,PBSP,JosueO,masculino,30,15,15,eu fora do casamento dela
saber,s<a>-'ber,a,548.6220723631,1437.3277493907,456.124,1485.55,s,b,e,381.2677069862,1967.1171201915,299.871,1603.355,e,1,CV,98.928766244,98.9539796949,25.2134508889,PBSP,JosueO,masculino,30,15,15,o meu pai também não quis saber de mim minha mãe também não desamparou
desamparou,d<e>-zA-p<a>-'Row,a,634.3448760037,1312.0930881793,497.246,1411.029,p,R,ow,471.6119365962,1035.986093295,333.919,1119.79,ow,1,CV,101.0803251227,101.0974471048,17.1219820285,PBSP,JosueO,masculino,30,15,15,o meu pai também não quis saber de mim minha mãe também não desamparou
trabalhar,tR<a>-b<a>-'Lar,a,631.8643445639,1333.6703095416,496.079,1423.785,R,b,a,661.0937308685,1192.4243746099,405.274,1200.975,a,2,CCV,105.2303836642,105.2470528828,16.6692185626,PBSP,JosueO,masculino,30,15,15,aí eu fiquei com a minha mãe até os quinze e desde os nove saí pra trabalhar pra também ajudar minha mãe que o outro pai também deixou pelo fato dela ter
trabalhar,tR<a>-b<a>-'Lar,a,661.0937308685,1192.4243746099,510.082,1339.866,b,L,a,724.890721252,1319.797620967,429.331,1267.093,a,1,CV,105.3481100203,105.3679047173,19.7946970431,PBSP,JosueO,masculino,30,15,15,aí eu fiquei com a minha mãe até os quinze e desde os nove saí pra trabalhar pra também ajudar minha mãe que o outro pai também deixou pelo fato dela ter
divergência,d<i>-v<e>r-'ZE-sia,i,381.3098119666,1819.9366151651,375.84,1713.139,d,v,e,398.9383144965,1904.0027679068,306.561,1570.562,E,2,CV,111.3397231382,111.3671806341,27.4574959527,PBSP,JosueO,masculino,30,15,15,acontecido essa divergência né
divergência,d<i>-v<e>r-'ZE-sia,e,398.9383144965,1904.0027679068,384.289,1763.267,v,r,E,455.957075004,1972.8813647921,328.002,1606.369,E,1,CVr,111.4910282071,111.5129031449,21.8749377956,PBSP,JosueO,masculino,30,15,15,acontecido essa divergência né
cunhada,k<u>-'Na-da,u,504.0475603494,927.676889372,434.746,1182.097,k,N,a,735.2181210442,1447.0859415285,433.233,1333.211,a,1,CV,120.2264006506,120.2391383626,12.7377119487,PBSP,JosueO,masculino,30,15,15,pra pra casa da minha cunhada vim passear conhecer
passear,p<a>-s<e>-'ar,a,687.8565112762,1192.0928398715,522.965,1339.642,p,s,e,525.0359684471,1774.1042770821,354.031,1503.026,a,2,CV,120.7192664899,120.7567722317,37.5057417658,PBSP,JosueO,masculino,30,15,15,pra pra casa da minha cunhada vim passear conhecer
fiquei,f<i>-'kej,i,375.0386016413,2250.0287000891,372.806,1969.15,f,k,ej ,422.7602656365,2008.9905036544,315.523,1625.158,ej,1,CV,122.7634030207,122.7792438837,15.8408630497,PBSP,JosueO,masculino,30,15,15,aí fiquei por aqui
passear,p<a>-s<e>-'ar,a,611.5620833206,1295.1115116122,486.324,1400.959,p,s,e,504.2276164458,1913.2692817797,346.184,1575.348,a,2,CV,125.3638483684,125.3810385,17.1901316427,PBSP,JosueO,masculino,30,15,15,fiquei vim de férias pra passear
noventa,n<o>-'vE-ta,o,578.4661076518,1186.0582983841,470.454,1336.061,n,v,E,545.3230070415,1790.4319925086,361.707,1511.535,E,1,CV,127.8716892016,127.8896681483,17.9789467509,PBSP,JosueO,masculino,30,15,15,aí cheguei aqui em noventa e seis e fiquei e estou até hoje
trabalhava,tR<a>-b<a>-'La-va,a,589.4339426003,1217.1132026576,475.728,1354.412,R,b,a,616.7075347026,1324.4960329534,388.593,1269.575,a,2,CCV,151.6237518034,151.6574043622,33.6525588458,PBSP,JosueO,masculino,30,15,15,trabalhava numa distri
trabalhava,tR<a>-b<a>-'La-va,a,616.7075347026,1324.4960329534,488.798,1418.414,b,L,a,673.0389450665,1328.2170492063,409.777,1271.524,a,1,CV,151.7875866293,151.811497658,23.9110286536,PBSP,JosueO,masculino,30,15,15,trabalhava numa distri
distribuidora,d<i>s-tR<i>-b<u>j-'do-Ra,i,384.5436556209,1875.396703289,377.381,1746.26,R,b,uj,382.5245728563,1767.2514144704,300.343,1499.481,o,2,CCV,153.5273316832,153.5392772521,11.9455688571,PBSP,JosueO,masculino,30,15,15,numa distribuidora de bebida
ganhava,g<a>-'Na-va,a,525.0433312586,1290.7750048505,444.828,1398.274,g,N,a,663.2174352713,1444.2865658344,406.089,1331.793,a,1,CV,155.51408914,155.5309154194,16.8262794229,PBSP,JosueO,masculino,30,15,15,eu ganhava bem pouquinho acho que duzentos e setenta reais parece
setenta,s<e>-'tE-ta,e,540.3425742459,1599.1597827974,452.156,1581.777,s,t,E,450.5051211941,1793.8512589116,325.986,1513.307,E,1,CV,157.483170276,157.5080012864,24.8310104707,PBSP,JosueO,masculino,30,15,15,eu ganhava bem pouquinho acho que duzentos e setenta reais parece
parece,p<a>-'Re-se,a,663.1577795239,1207.1456172112,511.109,1348.593,p,R,é,575.7562917125,1707.0698881377,373.156,1468.283,e,1,CV,158.2584790069,158.2788476609,20.3686540383,PBSP,JosueO,masculino,30,15,15,eu ganhava bem pouquinho acho que duzentos e setenta reais parece
apertado,<a>-p<e>r-'ta-do,e,443.1550259742,1622.2397912605,405.48,1595.652,p,r,a,751.2389126022,1474.3892713597,439.237,1347.392,a,1,CVr,160.9047630764,160.9336748155,28.9117391179,PBSP,JosueO,masculino,30,15,15,é apertado mas enfim aí eu trabalhei indo de noventa e quatro
noventa,n<o>-'vE-ta,o,580.0215744493,1019.2264977721,471.201,1236.701,n,v,E,538.7284350081,1230.512233929,359.22,1220.828,E,1,CV,164.5951302888,164.6334080464,38.2777575987,PBSP,JosueO,masculino,30,15,15,é apertado mas enfim aí eu trabalhei indo de noventa e quatro
trabalhei,tR<a>-b<a>-'Lej,a,535.6535526792,1143.7101839391,449.916,1310.774,R,b,a,562.0031372362,1134.8423542322,367.967,1171.195,ej,2,CCV,169.6233962428,169.6587568579,35.3606150589,PBSP,JosueO,masculino,30,15,15,até dois mil eu trabalhei aí juntando dinheiro
dinheiro,d<i>-'Nej-Ro,i,387.9618179215,1888.4501737385,379.014,1753.868,d,N,ej ,529.3010144477,1923.7691158593,355.66,1580.843,ej,1,CV,170.5950492543,170.6097128729,14.6636185826,PBSP,JosueO,masculino,30,15,15,até dois mil eu trabalhei aí juntando dinheiro
crescendo,kR<e>-'sE-do,e,473.6200399342,1523.2835305805,420.136,1536.573,R,s,E,411.4733477178,1883.4845809236,311.278,1559.927,E,1,CCV,172.307763291,172.3275343101,19.7710191758,PBSP,JosueO,masculino,30,15,15,e fui crescendo de cargo na empresa
durou,d<u>-'Row,u,339.1650080493,1028.5498195112,355.583,1242.295,d,R,ow,445.0801604194,1100.508202788,323.928,1153.292,ow,1,CV,174.2790660347,174.3012945113,22.2284766502,PBSP,JosueO,masculino,30,15,15,durou até dois ano
geral,Z<e>-'Raw,e,576.3839111383,1453.2202369526,469.427,1494.949,Z,R,aw,677.3854199123,1226.1385001902,411.449,1218.524,aw,1,CV,178.4220886229,178.4553284666,33.2398437764,PBSP,JosueO,masculino,30,15,15,eu entrei como como ajudante geral já era em conferente na distribuidora de bebida
conferente,kO-f<e>-'RE-te,e,482.2263015061,1939.5253363549,424.244,1784.303,f,R,E,469.2155274892,1946.4823667902,333.019,1592.542,E,1,CV,179.5851057911,179.619176631,34.0708398707,PBSP,JosueO,masculino,30,15,15,eu entrei como como ajudante geral já era em conferente na distribuidora de bebida
distribuidora,d<i>s-tR<i>-b<u>j-'do-Ra,i,355.9149575567,1570.920797094,363.611,1564.994,R,b,uj,351.7822789234,1692.3440244838,288.765,1460.661,o,2,CCV,180.796164649,180.8121613238,15.9966748174,PBSP,JosueO,masculino,30,15,15,eu entrei como como ajudante geral já era em conferente na distribuidora de bebida
aquisitivo,<a>-k<i>-z<i>-'ti-vo,i,411.130601749,1843.5008866312,390.123,1727.238,z,t,i,382.6264175079,1956.8535536083,300.386,1598.037,i,1,CV,183.1093963298,183.1254711735,16.0748437394,PBSP,JosueO,masculino,30,15,15,e isso me deu um poder aquisitivo melhor
cidade,s<i>-'da-de,i,371.3462498743,1701.4842804918,371.032,1642.647,s,d,a,610.9949446636,1421.999163152,386.407,1320.271,a,1,CV,189.0242148272,189.0428278041,18.6129769614,PBSP,JosueO,masculino,30,15,15,aí comprei uma casa pra ela na cidade onde que ela vive lá aí
geladeira,Z<e>-l<a>-'dej-Ra,e,616.9967678556,1399.747017541,488.938,1463.171,Z,l,a,624.2696213722,1151.823791758,391.424,1179.881,ej,2,CV,199.9116674512,199.9349353418,23.2678906434,PBSP,JosueO,masculino,30,15,15,deu uma arrumada na casa e comprei tevê geladeira fogão como deveria né
geladeira,Z<e>-l<a>-'dej-Ra,a,624.2696213722,1151.823791758,492.438,1315.697,l,d,ej ,341.9791551985,2000.1363496366,285.077,1620.55,ej,1,CV,200.0041259955,200.0255068325,21.3808370124,PBSP,JosueO,masculino,30,15,15,deu uma arrumada na casa e comprei tevê geladeira fogão como deveria né
